,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
81,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,english-bitter-mild-and-pale-ale
82,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,english-bitter-mild-and-pale-ale
83,Northwest Golding,4.0,5.0,,Known for aromatic properties.,english-bitter-mild-and-pale-ale
84,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,english-bitter-mild-and-pale-ale
85,Pacific Gem,13.0,15.0,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.,english-bitter-mild-and-pale-ale
86,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",english-bitter-mild-and-pale-ale
87,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",english-bitter-mild-and-pale-ale
88,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",english-bitter-mild-and-pale-ale
89,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",english-bitter-mild-and-pale-ale
90,Pride of Ringwood,7.0,10.0,"Cluster, Galena","Quite pronounced, woody, earthy, herbal.",english-bitter-mild-and-pale-ale
91,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",english-bitter-mild-and-pale-ale
92,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,english-bitter-mild-and-pale-ale
93,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,english-bitter-mild-and-pale-ale
94,Styrian Aurora,7.0,9.5,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process.",english-bitter-mild-and-pale-ale
95,Styrian Bobek,3.5,7.0,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type.",english-bitter-mild-and-pale-ale
96,Styrian Celeia,3.0,6.0,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities.",english-bitter-mild-and-pale-ale
97,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",english-bitter-mild-and-pale-ale
98,Super Pride,14.0,14.0,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.,english-bitter-mild-and-pale-ale
99,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",english-bitter-mild-and-pale-ale
100,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",english-bitter-mild-and-pale-ale
101,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",english-bitter-mild-and-pale-ale
102,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",english-bitter-mild-and-pale-ale
103,Admiral,13.5,16.0,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.,india-pale-ale
104,Ahtanum™,4.0,6.3,"Amarillo, Cascade","Floral, citrus, sharp, and piney.",india-pale-ale
105,Amarillo®,8.0,9.0,"Cascade, Centennial","Citrusy, flowery.",india-pale-ale
106,Apollo,15.0,19.0,Zeus,A high alpha acid varietal known for its disease resistance.,india-pale-ale
107,Azacca®,14.0,16.0,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.",india-pale-ale
108,Boadicea,8.0,9.0,,spicy,india-pale-ale
109,Bobeck,3.5,7.0,,U.K. Fuggle,india-pale-ale
110,Bramling Cross,5.0,7.0,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma.",india-pale-ale
111,Bravo,14.0,17.0,,"Apollo, Zeus",india-pale-ale
