,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
747,Scott Pellerin,33,LW,TOT,43,1,4,5,-8,16,0,1,0,0,4,0,0,37,2.7,433,10:05,-0.5
748,Scott Pellerin,33,LW,PHX,23,0,1,1,-5,8,0,0,0,0,1,0,0,17,0.0,219,9:32,-0.5
749,Scott Pellerin,33,LW,DAL,20,1,3,4,-3,8,0,1,0,0,3,0,0,20,5.0,214,10:43,0.0
750,Yanic Perreault,31,C,MTL,73,24,22,46,-11,30,17,7,0,4,16,6,0,145,16.6,1174,16:05,5.0
751,Nathan Perrott,26,RW,NSH,1,0,0,0,0,5,0,0,0,0,0,0,0,0,,4,4:13,0.0
752,Oleg Petrov,31,LW,TOT,70,9,18,27,-6,18,7,2,0,2,16,2,0,124,7.3,1006,14:22,2.0
753,Oleg Petrov,31,LW,MTL,53,7,16,23,-2,16,5,2,0,2,15,1,0,87,8.0,728,13:44,1.9
754,Oleg Petrov,31,LW,NSH,17,2,2,4,-4,2,2,0,0,0,1,1,0,37,5.4,278,16:20,0.1
755,Ronald Petrovicky,25,LW,NYR,66,5,9,14,-12,77,2,2,1,1,8,1,0,65,7.7,820,12:25,0.1
756,Tomi Pettinen,25,D,NYI,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,11:34,0.1
757,Matt Pettinger,22,LW,WSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3:30,0.0
758,Chris Phillips,24,D,OTT,78,3,16,19,7,71,1,2,0,1,13,3,0,97,3.1,1577,20:13,4.5
759,Karel Pilar,25,D,TOR,17,3,4,7,-7,12,2,1,0,1,2,2,0,22,13.6,314,18:29,0.8
760,Lasse Pirjeta,28,C,CBJ,51,11,10,21,-4,12,9,2,0,2,9,1,0,80,13.8,585,11:28,2.4
761,Kamil Piros,24,C,ATL,3,3,2,5,4,2,3,0,0,1,1,1,0,8,37.5,51,17:05,1.0
762,Ales Pisa,26,D,TOT,51,1,3,4,12,24,0,1,0,0,3,0,0,37,2.7,663,12:59,2.0
763,Ales Pisa,26,D,EDM,48,1,3,4,11,24,0,1,0,0,3,0,0,34,2.9,621,12:56,1.9
764,Ales Pisa,26,D,NYR,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,42,13:55,0.1
765,Fernando Pisani,26,RW,EDM,35,8,5,13,9,10,7,0,1,0,5,0,0,32,25.0,375,10:43,1.9
766,Domenic Pittis,28,C,NSH,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,10,5:00,0.0
767,Steve Poapst,34,D,CHI,75,2,11,13,14,50,2,0,0,0,10,0,1,49,4.1,1714,22:51,4.5
768,Shjon Podein,34,RW,STL,68,4,6,10,7,28,3,1,0,0,4,1,1,52,7.7,741,10:54,0.4
769,Alexei Ponikarovsky,22,LW,TOR,13,0,3,3,4,11,0,0,0,0,3,0,0,13,0.0,139,10:43,0.2
770,Brian Pothier,25,D,OTT,14,2,4,6,11,6,2,0,0,1,3,1,0,23,8.7,215,15:23,2.0
771,Tom Poti,25,D,NYR,80,11,37,48,-6,58,8,3,0,2,18,18,1,148,7.4,1977,24:43,7.7
772,Nolan Pratt,27,D,TBL,67,1,7,8,-6,35,1,0,0,0,7,0,0,38,2.6,1177,17:34,2.0
773,Keith Primeau,31,C,PHI,80,19,27,46,4,93,13,6,0,4,18,7,2,171,11.1,1542,19:16,4.9
774,Wayne Primeau,26,C,TOT,77,6,12,18,-28,55,5,1,0,0,9,1,2,114,5.3,1251,16:15,-0.4
775,Wayne Primeau,26,C,PIT,70,5,11,16,-30,55,4,1,0,0,8,1,2,101,5.0,1140,16:17,-0.6
776,Wayne Primeau,26,C,SJS,7,1,1,2,2,0,1,0,0,0,1,0,0,13,7.7,112,15:59,0.2
777,Chris Pronger,28,D,STL,5,1,3,4,-2,10,1,0,0,0,3,0,0,11,9.1,108,21:39,0.4
778,Sean Pronger,30,RW,CBJ,78,7,6,13,-26,72,6,1,0,0,4,1,1,67,10.4,899,11:32,-0.3
779,Vinny Prospal,27,LW,TBL,80,22,57,79,9,53,13,9,0,4,37,20,0,134,16.4,1493,18:39,8.7
780,Dale Purinton,26,D,NYR,58,3,9,12,-2,161,3,0,0,0,9,0,0,50,6.0,872,15:02,2.2
781,Jamie Pushor,29,D,PIT,76,3,1,4,-28,76,3,0,0,0,1,0,0,54,5.6,1290,16:58,0.5
782,Taylor Pyatt,21,LW,BUF,78,14,14,28,-8,38,12,2,0,0,12,2,0,110,12.7,1099,14:06,2.6
783,Deron Quint,26,D,PHX,51,7,10,17,-5,20,5,2,0,0,3,7,0,85,8.2,809,15:51,2.9
784,Stephane Quintal,34,D,MTL,67,5,5,10,-4,70,5,0,0,0,5,0,0,73,6.8,1249,18:38,2.5
785,Karel Rachunek,23,D,OTT,58,4,25,29,23,30,1,3,0,1,15,9,1,110,3.6,1262,21:46,6.7
786,Branko Radivojevic,22,RW,PHX,79,12,15,27,-2,63,11,1,0,3,14,1,0,109,11.0,1051,13:18,2.2
787,Igor Radulov,20,LW,CHI,7,5,0,5,-3,4,2,3,0,0,0,0,0,14,35.7,106,15:06,0.8
788,Brian Rafalski,29,D,NJD,79,3,37,40,18,14,1,2,0,0,23,14,0,178,1.7,1829,23:09,8.7
789,Marcus Ragnarsson,31,D,TOT,68,3,13,16,7,62,2,1,0,0,8,4,1,79,3.8,1533,22:33,4.6
790,Marcus Ragnarsson,31,D,PHI,43,2,6,8,5,32,1,1,0,0,3,2,1,52,3.8,910,21:10,2.7
791,Marcus Ragnarsson,31,D,SJS,25,1,7,8,2,30,1,0,0,0,5,2,0,27,3.7,623,24:56,1.9
792,Paul Ranheim,37,RW,TOT,68,3,8,11,-8,16,3,0,0,0,6,0,2,71,4.2,813,11:58,-0.2
793,Paul Ranheim,37,RW,PHX,40,3,4,7,-4,10,3,0,0,0,3,0,1,34,8.8,479,11:59,0.0
794,Paul Ranheim,37,RW,PHI,28,0,4,4,-4,6,0,0,0,0,3,0,1,37,0.0,334,11:56,-0.2
795,Erik Rasmussen,25,C,LAK,57,4,12,16,-1,28,4,0,0,1,11,1,0,75,5.3,778,13:39,0.9
796,Mike Rathje,28,D,SJS,82,7,22,29,-19,48,4,3,0,1,10,12,0,147,4.8,1977,24:07,4.6
797,Rob Ray,34,RW,TOT,46,0,0,0,-5,96,0,0,0,0,0,0,0,14,0.0,205,4:27,-0.5
798,Rob Ray,34,RW,BUF,41,0,0,0,-5,92,0,0,0,0,0,0,0,14,0.0,180,4:24,-0.5
799,Rob Ray,34,RW,OTT,5,0,0,0,0,4,0,0,0,0,0,0,0,0,,24,4:53,0.0
800,Marty Reasoner,25,C,EDM,70,11,20,31,19,28,7,2,2,0,15,3,2,102,10.8,1038,14:50,3.4
801,Mark Recchi,34,RW,PHI,79,20,32,52,0,35,11,8,1,3,16,16,0,171,11.7,1488,18:50,5.6
802,Wade Redden,25,D,OTT,76,10,35,45,23,70,6,4,0,3,16,19,0,154,6.5,1930,25:24,9.7
803,Robyn Regehr,22,D,CGY,76,0,12,12,-9,87,0,0,0,0,8,3,1,109,0.0,1729,22:45,2.7
804,Robert Reichel,31,C,TOR,81,12,30,42,7,26,10,1,1,1,21,9,0,111,10.8,1178,14:33,3.9
805,Brandon Reid,21,C,VAN,7,2,3,5,4,0,2,0,0,0,3,0,0,15,13.3,69,9:47,0.8
806,Steve Reinprecht,26,C,COL,77,18,33,51,-6,18,15,2,1,1,19,13,1,146,12.3,1337,17:22,4.5
807,Mikael Renberg,30,RW,TOR,67,14,21,35,5,36,7,7,0,1,16,5,0,137,10.2,907,13:32,3.8
808,Pascal Rheaume,29,C,TOT,77,8,10,18,-5,32,5,0,3,2,8,1,1,93,8.6,936,12:09,1.0
809,Pascal Rheaume,29,C,ATL,56,4,9,13,-8,24,2,0,2,1,7,1,1,70,5.7,688,12:17,0.3
810,Pascal Rheaume,29,C,NJD,21,4,1,5,3,8,3,0,1,1,1,0,0,23,17.4,248,11:50,0.7
811,Mike Ribeiro,22,LW,MTL,52,5,12,17,-3,6,3,2,0,0,10,2,0,57,8.8,578,11:07,1.2
812,Mike Ricci,31,C,SJS,75,11,23,34,-12,53,5,5,1,2,15,8,0,101,10.9,1238,16:31,2.2
813,Brad Richards,22,C,TBL,80,17,57,74,3,24,13,4,0,2,23,34,0,277,6.1,1595,19:56,7.2
814,Luke Richardson,33,D,CBJ,82,0,13,13,-16,73,0,0,0,0,11,0,2,56,0.0,1929,23:32,2.6
815,Jani Rita,21,LW,EDM,12,3,1,4,2,0,3,0,0,0,1,0,0,18,16.7,114,9:32,0.6
816,Byron Ritchie,25,RW,FLA,30,0,3,3,-4,19,0,0,0,0,3,0,0,29,0.0,279,9:18,-0.3
817,Jamie Rivers,27,D,FLA,1,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,18,18:27,-0.1
818,Craig Rivet,28,D,MTL,82,7,15,22,1,71,4,3,0,2,11,4,0,118,5.9,1803,22:00,4.9
819,Gary Roberts,36,LW,TOR,14,5,3,8,-2,10,2,3,0,0,2,1,0,22,22.7,218,15:35,0.9
820,Stephane Robidas,25,D,DAL,76,3,7,10,15,35,3,0,0,1,7,0,0,47,6.4,980,12:54,3.6
821,Luc Robitaille,36,LW,DET,81,11,20,31,4,50,8,3,0,0,11,9,0,148,7.4,1038,12:49,2.7
822,Randy Robitaille,27,C,TOT,51,6,14,20,5,10,4,2,0,2,12,2,0,69,8.7,697,13:40,1.9
823,Randy Robitaille,27,C,PIT,41,5,12,17,5,8,4,1,0,2,11,1,0,61,8.2,572,13:58,1.7
824,Randy Robitaille,27,C,NYI,10,1,2,3,0,2,0,1,0,0,1,1,0,8,12.5,125,12:28,0.2
825,Jeremy Roenick,33,C,PHI,79,27,32,59,20,75,18,8,1,6,21,10,1,197,13.7,1485,18:48,8.0
826,Stacy Roest,28,RW,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,7:19,0.0
827,Brian Rolston,29,C,BOS,81,27,32,59,1,32,16,6,5,5,15,15,2,281,9.6,1657,20:28,6.2
828,Cliff Ronning,37,LW,MIN,80,17,31,48,-6,24,9,8,0,5,16,14,1,171,9.9,1394,17:25,4.9
829,Pavel Rosa,25,RW,LAK,2,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,28,13:57,-0.1
830,Kyle Rossiter,22,D,FLA,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,30,10:09,-0.1
831,Andre Roy,27,LW,TBL,62,10,7,17,0,119,10,0,0,2,7,0,0,85,11.8,667,10:46,1.8
832,Michal Rozsival,24,D,PIT,53,4,6,10,-5,40,3,1,0,0,3,3,0,61,6.6,1082,20:25,2.8
833,Steve Rucchin,31,C,MDA,82,20,38,58,-14,12,13,6,1,4,19,17,2,194,10.3,1729,21:05,5.3
