,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
681,Ivan Novoseltsev,21,RW,FLA,14,2,1,3,-3,8,0,2,0,0,1,0,0,8,25.0,147,10:29,0.1
682,Teppo Numminen,31,D,PHX,79,8,34,42,21,16,6,2,0,2,20,11,3,126,6.3,1866,23:37,8.4
683,Michael Nylander,27,RW,TOT,77,24,30,54,6,30,19,5,0,2,22,8,0,122,19.7,1214,15:46,6.2
684,Michael Nylander,27,RW,CHI,66,23,28,51,9,26,19,4,0,2,21,7,0,112,20.5,1099,16:39,6.1
685,Michael Nylander,27,RW,TBL,11,1,2,3,-3,4,0,1,0,0,1,1,0,10,10.0,116,10:32,0.1
686,Sean O'Donnell,28,D,LAK,80,2,12,14,4,114,2,0,0,1,10,1,1,51,3.9,1415,17:41,2.8
687,Jeff O'Neill,23,C,CAR,80,25,38,63,-9,72,21,4,0,7,23,15,0,189,13.2,1546,19:20,6.5
688,Chris O'Sullivan,25,D,VAN,11,0,5,5,2,2,0,0,0,0,3,2,0,16,0.0,196,17:47,0.8
689,Adam Oates,37,C,WSH,82,15,56,71,13,14,10,5,0,6,40,16,0,93,16.1,1832,22:20,6.3
690,Lyle Odelein,31,D,TOT,73,2,22,24,-9,123,1,1,0,1,17,4,1,89,2.2,1300,17:48,3.2
691,Lyle Odelein,31,D,NJD,57,1,15,16,-10,104,1,0,0,1,13,2,0,59,1.7,952,16:42,1.9
692,Lyle Odelein,31,D,PHX,16,1,7,8,1,19,0,1,0,0,4,2,1,30,3.3,348,21:45,1.3
693,Jeff Odgers,30,RW,COL,62,1,2,3,-7,162,1,0,0,1,2,0,0,29,3.4,334,5:23,-0.4
694,Gino Odjick,29,LW,TOT,59,8,11,19,-5,100,8,0,0,4,10,1,0,115,7.0,678,11:29,1.5
695,Gino Odjick,29,LW,NYI,46,5,10,15,-7,90,5,0,0,3,9,1,0,91,5.5,560,12:10,0.9
696,Gino Odjick,29,LW,PHI,13,3,1,4,2,10,3,0,0,1,1,0,0,24,12.5,118,9:03,0.6
697,Mattias Ohlund,23,D,VAN,42,4,16,20,6,24,1,2,1,1,7,9,0,63,6.3,1163,27:41,3.8
698,Fredrik Olausson,33,D,MDA,70,15,19,34,-13,28,7,8,0,1,5,14,0,120,12.5,1401,20:01,5.6
699,Ed Olczyk,33,RW,CHI,33,2,2,4,-8,12,2,0,0,0,2,0,0,33,6.1,307,9:18,-0.2
700,David Oliver,28,RW,PHX,9,1,0,1,0,2,0,1,0,0,0,0,0,6,16.7,69,7:38,0.1
701,Krzysztof Oliwa,26,RW,NJD,69,6,10,16,-2,184,5,1,0,2,10,0,0,61,9.8,466,6:45,1.4
