,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
126,Pavel Bure,30,RW,TOT,68,34,35,69,-5,62,8.1,21,12,1,2,23,12,0,287,11.8,1701,25:01,,,,,
127,Pavel Bure,30,RW,FLA,56,22,27,49,-14,56,4.9,12,9,1,1,15,12,0,238,9.2,1416,25:18,,,,,
128,Pavel Bure,30,RW,NYR,12,12,8,20,9,6,3.2,9,3,0,1,8,0,0,49,24.5,285,23:43,,,,,
129,Valeri Bure,27,RW,FLA,31,8,10,18,-3,12,1.8,6,2,0,1,4,6,0,100,8.0,576,18:36,,,,,
130,Sven Butenschön,25,D,EDM,14,0,0,0,0,4,0.2,0,0,0,0,0,0,0,8,0.0,135,9:39,,,,,
131,Yuri Butsayev,23,C,TOT,11,2,0,2,0,4,0.2,2,0,0,0,0,0,0,10,20.0,137,12:27,,,,,
132,Yuri Butsayev,23,C,ATL,8,2,0,2,1,4,0.3,2,0,0,0,0,0,0,6,33.3,108,13:28,,,,,
133,Yuri Butsayev,23,C,DET,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,29,9:44,,,,,
134,Petr Buzek,24,D,TOT,41,1,3,4,0,27,1.3,1,0,0,0,3,0,0,36,2.8,694,16:56,,,,,
135,Petr Buzek,24,D,CGY,32,1,3,4,4,14,1.5,1,0,0,0,3,0,0,34,2.9,551,17:12,,,,,
136,Petr Buzek,24,D,ATL,9,0,0,0,-4,13,-0.2,0,0,0,0,0,0,0,2,0.0,144,15:58,,,,,
137,Dan Bylsma,31,RW,MDA,77,8,9,17,5,28,1.7,7,0,1,2,9,0,0,72,11.1,893,11:36,,,,,
138,Eric Cairns,27,D,NYI,74,2,5,7,-2,176,1.4,2,0,0,1,5,0,0,34,5.9,825,11:09,,,,,
139,Kyle Calder,23,LW,CHI,81,17,36,53,8,47,5.4,11,6,0,3,28,8,0,133,12.8,1341,16:33,,,,,
140,Brian Campbell,22,D,BUF,29,3,3,6,0,12,1.6,3,0,0,0,2,1,0,30,10.0,444,15:18,,,,,
141,Jim Campbell,28,RW,CHI,9,1,1,2,-3,4,0.0,1,0,0,0,0,1,0,12,8.3,120,13:21,,,,,
142,Keith Carney,31,D,MDA,60,5,9,14,14,30,5.3,5,0,0,1,6,3,0,66,7.6,1247,20:47,,,,,
143,Anson Carter,27,RW,EDM,82,28,32,60,3,25,7.2,16,12,0,6,18,14,0,181,15.5,1583,19:18,,,,,
144,Andrew Cassels,32,C,VAN,53,11,39,50,5,22,5.0,4,7,0,1,22,17,0,64,17.2,925,17:27,,,,,
145,Zdeno Chara,24,D,OTT,75,10,13,23,30,156,7.5,5,4,1,2,10,1,2,105,9.5,1670,22:16,,,,,
146,Brad Chartrand,27,C,LAK,46,7,9,16,5,40,1.9,7,0,0,1,9,0,0,49,14.3,556,12:05,,,,,
147,Vladimir Chebaturkin,26,D,CHI,13,0,2,2,0,6,0.4,0,0,0,0,2,0,0,8,0.0,165,12:42,,,,,
148,Chris Chelios,40,D,DET,79,6,33,39,40,126,10.0,5,1,0,1,24,6,3,128,4.7,1999,25:18,,,,,
149,Jason Chimera,22,C,EDM,3,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,3,33.3,38,12:44,,,,,
150,Marc Chouinard,24,C,MDA,45,4,5,9,2,10,0.8,4,0,0,0,4,0,1,40,10.0,477,10:36,,,,,
151,Ryan Christie,23,LW,CGY,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,12,6:10,,,,,
152,Artem Chubarov,22,C,VAN,51,5,5,10,-3,10,0.3,5,0,0,3,4,0,1,73,6.8,644,12:37,,,,,
153,Martin Cibak,21,C,TBL,26,1,5,6,-6,8,0.1,1,0,0,0,5,0,0,22,4.5,290,11:08,,,,,
154,Ivan Ciernik,24,LW,TOT,29,1,3,4,0,6,0.1,1,0,0,0,3,0,0,23,4.3,236,8:08,,,,,
155,Ivan Ciernik,24,LW,OTT,23,1,2,3,0,4,0.1,1,0,0,0,2,0,0,18,5.6,181,7:51,,,,,
156,Ivan Ciernik,24,LW,WSH,6,0,1,1,0,2,0.0,0,0,0,0,1,0,0,5,0.0,55,9:15,,,,,
157,Zdeno Ciger,32,LW,TOT,56,12,13,25,-15,26,1.9,11,1,0,3,11,2,0,92,13.0,856,15:17,,,,,
158,Zdeno Ciger,32,LW,NYR,29,6,7,13,-3,16,1.1,5,1,0,1,6,1,0,48,12.5,420,14:30,,,,,
159,Zdeno Ciger,32,LW,TBL,27,6,6,12,-12,10,0.8,6,0,0,2,5,1,0,44,13.6,436,16:08,,,,,
160,Marian Cisar,23,RW,NSH,10,1,2,3,-3,8,0.1,0,1,0,0,2,0,0,16,6.3,129,12:55,,,,,
