,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
789,Ben Street,29,DET,C,6,54,47,53.5,6.2,42,37,53.2,4.7,3.2,100.0,103.2,38.5,61.5,8:15,8:15,0,2,1.1,11,72.7
790,Mark Streit,39,TOT,D,68,1116,1019,52.3,2.3,818,731,52.8,2.8,5.8,91.4,97.2,60.6,39.4,18:43,15:54,16,39,3.1,224,50.9
791,Dylan Strome,19,ARI,C,7,82,99,45.3,-1.1,65,82,44.2,-1.3,4.2,90.3,94.5,76.2,23.8,13:41,11:33,3,0,-2.6,16,37.5
792,Ryan Strome,23,NYI,RW,69,709,834,45.9,-2.1,512,615,45.4,-3.0,7.8,92.1,99.9,44.7,55.3,14:36,11:58,33,32,-5.4,203,56.2
793,Mark Stuart,32,WPG,D,42,362,452,44.5,-4.3,266,319,45.5,-3.5,6.8,94.5,101.3,48.4,51.6,12:27,10:11,3,23,-0.4,52,46.2
794,P.K. Subban,27,NSH,D,66,1304,1091,54.4,3.6,991,840,54.1,4.1,7.4,90.2,97.7,47.2,52.8,24:24,19:36,30,58,10.4,295,48.5
795,Oskar Sundqvist,22,PIT,C,10,71,89,44.4,-6.7,49,62,44.1,-5.4,5.9,85.7,91.6,48.8,51.2,9:10,8:40,1,2,-1.7,10,90.0
796,Andrej Sustr,26,TBL,D,80,1091,1136,49.0,-3.1,834,861,49.2,-1.9,6.7,92.2,98.9,36.1,63.9,17:35,15:28,18,49,-4.8,164,56.7
797,Ryan Suter,32,MIN,D,82,1674,1661,50.2,1.3,1275,1243,50.6,1.2,10.4,92.3,102.7,49.8,50.2,26:56,21:42,41,38,19.7,332,49.4
798,Brandon Sutter,27,VAN,C,81,938,1094,46.2,-2.8,682,851,44.5,-3.5,7.1,91.2,98.3,43.8,56.2,18:48,14:20,32,21,-16.1,271,58.7
799,Evgeny Svechnikov,20,DET,RW,2,26,20,56.5,14.1,18,12,60.0,19.2,0.0,100.0,100.0,71.4,28.6,13:09,13:08,0,1,0.5,6,66.7
