,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
0,Spencer Abbott,28,CHI,LW,1,11,7,61.1,-6.7,6,6,50.0,-17.2,0.0,100.0,100.0,100.0,0.0,8:34,8:34,1,0,0.1,2,50.0
1,Justin Abdelkader,29,DET,LW,64,685,790,46.4,-2.1,523,593,46.9,-1.4,5.3,91.1,96.4,46.3,53.7,16:39,13:07,15,18,-3.7,160,65.0
2,Pontus Aberg,23,NSH,LW,15,138,159,46.5,-6.2,104,117,47.1,-4.9,6.6,92.1,98.7,48.3,51.7,12:20,12:05,5,2,-1.2,24,50.0
3,Noel Acciari,25,BOS,C,29,230,246,48.3,-6.0,170,188,47.5,-7.7,7.8,95.8,103.6,40.9,59.1,10:14,10:01,10,4,0.5,43,55.8
4,Kenny Agostino,24,STL,LW,7,86,64,57.3,12.8,69,47,59.5,10.5,5.8,90.9,96.7,60.4,39.6,12:47,11:30,1,4,1.9,26,65.4
5,Sebastian Aho,19,CAR,RW,82,1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,16:47,14:15,40,57,5.1,362,59.1
6,Karl Alzner,28,WSH,D,82,1135,1318,46.3,-7.5,852,982,46.5,-6.7,10.3,93.9,104.2,45.9,54.1,19:48,16:42,17,52,-5.4,162,50.0
7,Josh Anderson,22,CBJ,RW,78,779,882,46.9,-4.1,590,657,47.3,-3.9,9.5,93.8,103.2,45.8,54.2,12:01,11:44,25,16,-0.1,193,61.7
8,Rasmus Andersson,20,CGY,D,1,15,15,50.0,-2.2,6,9,40.0,-10.0,0.0,80.0,80.0,60.0,40.0,18:33,16:40,0,0,0.2,1,0.0
9,Andy Andreoff,25,LAK,LW,36,358,304,54.1,-1.1,253,224,53.0,-2.3,4.0,93.8,97.8,58.5,41.5,10:36,10:21,5,10,0.5,81,46.9
10,Sven Andrighetto,23,TOT,RW,46,550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,13:58,12:44,19,9,1.3,130,52.3
11,Artem Anisimov,28,CHI,C,64,856,865,49.7,-0.5,615,662,48.2,-1.6,11.9,92.0,103.9,65.1,34.9,17:51,14:38,35,16,-2.7,191,55.0
12,Josh Archibald,24,PIT,RW,10,87,106,45.1,-2.8,66,76,46.5,-0.9,11.1,94.3,105.5,50.0,50.0,10:52,10:20,0,2,-0.6,24,45.8
13,Joel Armia,23,WPG,RW,57,602,696,46.4,-4.6,456,532,46.2,-5.4,6.2,92.6,98.8,42.7,57.3,15:08,12:24,42,19,-2.0,195,56.9
14,Viktor Arvidsson,23,NSH,LW,80,1275,1042,55.0,5.5,975,816,54.4,5.2,9.6,91.0,100.6,55.8,44.2,17:09,14:02,37,26,2.7,411,59.6
15,Andreas Athanasiou,22,DET,C,64,640,690,48.1,-1.0,500,534,48.4,-0.5,9.0,90.9,99.9,62.1,37.9,13:28,11:43,17,19,-6.6,236,50.8
16,Cam Atkinson,27,CBJ,RW,82,1153,1210,48.8,-2.0,828,899,47.9,-3.4,8.9,93.3,102.2,45.3,54.7,18:05,13:59,36,21,-2.3,399,60.2
17,Brady Austin,23,BUF,D,5,78,67,53.8,3.6,66,55,54.5,2.8,5.7,93.0,98.7,62.3,37.7,16:05,15:29,1,2,0.7,10,80.0
18,Yohann Auvitu,27,NJD,D,25,293,283,50.9,7.0,227,230,49.7,5.5,6.8,94.1,100.9,66.3,33.7,15:36,13:31,7,13,0.1,87,62.1
19,David Backes,32,BOS,RW,74,1149,888,56.4,2.2,873,647,57.4,2.8,8.7,89.2,97.9,50.3,49.7,17:03,14:18,28,35,10.0,285,61.1
20,Mikael Backlund,27,CGY,C,81,1120,918,55.0,6.2,834,683,55.0,6.9,9.2,89.9,99.1,36.3,63.7,17:36,13:14,57,49,5.6,338,58.3
21,Nicklas Backstrom,29,WSH,C,82,1144,1118,50.6,-1.1,873,841,50.9,0.0,10.2,92.4,102.6,53.0,47.0,18:16,14:30,61,54,1.3,268,60.1
22,Sven Baertschi,24,VAN,LW,68,774,898,46.3,-2.7,585,680,46.2,-1.2,10.0,90.6,100.7,50.0,50.0,15:53,13:41,39,23,-4.0,185,61.6
23,Casey Bailey,25,OTT,RW,7,46,48,48.9,1.7,40,28,58.8,10.3,0.0,94.1,94.1,66.7,33.3,7:60,7:60,1,0,1.9,12,83.3
24,Josh Bailey,27,NYI,RW,82,1246,1212,50.7,4.4,912,877,51.0,4.5,10.5,90.1,100.6,62.1,37.9,18:22,15:10,54,61,0.7,304,56.9
25,Justin Bailey,21,BUF,RW,32,283,371,43.3,-3.5,213,276,43.6,-3.6,7.2,94.7,101.9,42.5,57.5,10:38,10:38,8,10,-3.7,75,48.0
26,Nicholas Baptiste,21,BUF,RW,14,95,118,44.6,-5.1,71,97,42.3,-6.9,10.0,94.7,104.7,54.1,45.9,9:14,8:38,1,1,-1.4,21,81.0
27,Ivan Barbashev,21,STL,C,30,271,292,48.1,-0.5,203,213,48.8,-0.9,9.7,94.8,104.5,44.0,56.0,11:47,10:52,9,3,2.4,41,48.8
28,Riley Barber,22,WSH,RW,3,17,27,38.6,-14.1,13,19,40.6,-8.8,0.0,100.0,100.0,64.7,35.3,8:35,8:35,0,0,0.3,3,66.7
29,Mark Barberio,26,TOT,D,60,917,835,52.3,0.9,663,645,50.7,0.3,6.9,92.2,99.1,54.4,45.6,18:16,15:54,16,33,-1.8,198,40.4
30,Aleksander Barkov,21,FLA,C,61,911,728,55.6,5.2,704,594,54.2,4.1,9.5,91.7,101.2,57.2,42.8,19:24,15:12,49,30,5.2,226,62.8
31,Tyson Barrie,25,COL,D,74,1330,1328,50.0,2.1,1003,1050,48.9,1.7,6.6,89.7,96.2,58.2,41.8,23:18,19:28,22,51,-9.3,404,44.6
32,Matt Bartkowski,28,CGY,D,24,285,343,45.4,-5.5,201,266,43.0,-8.5,8.7,91.7,100.4,49.5,50.5,15:23,14:55,3,13,-5.2,49,32.7
33,Mathew Barzal,19,NYI,C,2,11,28,28.2,-21.5,10,18,35.7,-14.3,0.0,85.7,85.7,66.7,33.3,9:45,9:14,0,0,-1.8,0,
34,Cody Bass,30,NSH,C,9,27,63,30.0,-21.6,21,42,33.3,-16.8,0.0,96.9,96.9,16.1,83.9,6:46,6:15,2,1,-1.8,3,33.3
35,Jay Beagle,31,WSH,RW,81,684,821,45.4,-7.4,512,619,45.3,-7.2,11.0,94.7,105.6,31.1,68.9,13:38,10:47,11,26,-2.4,158,63.3
36,Francois Beauchemin,36,COL,D,81,1273,1383,47.9,-1.7,948,1019,48.2,0.0,7.0,91.3,98.3,46.5,53.5,21:31,17:14,28,47,-12.0,279,47.3
37,Nathan Beaulieu,24,MTL,D,74,1221,1185,50.7,-2.6,871,854,50.5,-2.8,9.4,92.4,101.7,50.8,49.2,19:29,16:52,16,71,0.0,235,50.2
38,Anthony Beauvillier,19,NYI,LW,66,700,882,44.2,-4.2,527,647,44.9,-3.2,9.6,92.1,101.7,52.4,47.6,13:01,12:29,17,30,-9.3,170,59.4
39,Taylor Beck,25,TOT,LW,5,31,44,41.3,-4.5,18,32,36.0,-12.4,0.0,87.0,87.0,53.8,46.2,8:49,8:31,1,2,-1.4,11,45.5
40,Matt Beleskey,28,BOS,LW,49,522,453,53.5,-1.1,407,331,55.1,0.6,4.0,89.9,93.9,53.8,46.2,13:10,11:07,7,12,5.1,149,53.0
41,Pierre-Edouard Bellemare,31,PHI,LW,82,670,768,46.6,-5.6,467,525,47.1,-5.5,6.7,94.1,100.8,46.2,53.8,12:58,10:09,24,14,-3.9,172,52.3
42,Jamie Benn,27,DAL,LW,77,1127,1127,50.0,-0.4,831,824,50.2,-0.5,8.7,90.2,98.9,48.9,51.1,19:22,14:49,55,55,-6.5,359,56.0
43,Jordie Benn,29,TOT,D,71,1086,1085,50.0,-1.0,788,775,50.4,-0.8,7.2,92.3,99.5,46.1,53.9,18:17,14:56,14,49,-2.3,180,37.8
44,Beau Bennett,25,NJD,RW,65,727,635,53.4,7.2,556,493,53.0,6.5,5.9,93.2,99.1,46.1,53.9,13:43,11:54,19,16,1.1,185,54.6
45,Sam Bennett,20,CGY,C,81,854,905,48.6,-2.5,631,666,48.7,-1.7,6.6,90.4,97.0,56.1,43.9,14:59,12:33,43,25,-0.6,215,56.7
46,Matt Benning,22,EDM,D,62,893,815,52.3,2.0,681,612,52.7,1.0,9.2,91.7,101.0,56.7,43.3,16:37,15:28,7,49,3.8,152,45.4
47,Patrice Bergeron,31,BOS,C,79,1346,833,61.8,9.7,1025,627,62.0,9.6,7.8,89.5,97.3,54.7,45.3,19:20,14:11,65,23,20.3,480,62.9
48,Patrik Berglund,28,STL,C,82,983,938,51.2,1.8,736,704,51.1,1.2,8.0,90.7,98.6,41.5,58.5,15:59,13:19,43,23,2.4,275,55.6
49,Christoph Bertschy,22,MIN,C,5,25,35,41.7,-10.8,17,25,40.5,-10.3,6.7,95.0,101.7,69.6,30.4,8:08,8:08,0,0,0.2,5,100.0
50,Tyler Bertuzzi,21,DET,LW,7,38,54,41.3,-6.0,28,45,38.4,-9.3,5.0,93.1,98.1,55.6,44.4,9:06,9:03,1,3,-0.5,8,37.5
51,Bryan Bickell,30,CAR,LW,11,80,98,44.9,-6.5,59,76,43.7,-6.1,8.1,90.7,98.8,42.2,57.8,10:26,9:05,3,2,-2.3,20,40.0
52,Alex Biega,28,VAN,D,36,385,408,48.5,2.2,278,318,46.6,1.6,5.9,93.3,99.3,52.5,47.5,13:10,12:18,5,7,-5.2,79,46.8
53,Kevin Bieksa,35,ANA,D,81,1080,1310,45.2,-6.2,824,963,46.1,-5.4,8.8,92.4,101.2,49.6,50.4,18:45,16:04,13,54,-12.3,197,47.7
54,Anthony Bitetto,26,NSH,D,29,285,352,44.7,-6.8,210,267,44.0,-6.8,9.7,91.8,101.5,57.6,42.4,11:48,11:20,1,8,-4.4,45,37.8
55,Oliver Bjorkstrand,21,CBJ,RW,26,303,247,55.1,5.6,224,182,55.2,5.3,9.3,91.2,100.5,58.8,41.2,14:05,12:23,8,8,6.1,90,61.1
56,Nick Bjugstad,24,FLA,C,54,539,627,46.2,-5.7,419,506,45.3,-6.3,5.0,91.7,96.7,55.5,44.5,13:09,11:43,21,17,-9.6,154,59.1
57,Joseph Blandisi,22,NJD,LW,27,275,286,49.0,0.4,207,229,47.5,-1.2,5.1,90.5,95.7,45.6,54.4,13:22,11:40,7,4,-0.5,50,48.0
58,Anton Blidh,21,BOS,LW,19,165,125,56.9,-1.2,125,90,58.1,-0.3,3.4,91.8,95.3,59.6,40.4,8:47,8:19,4,4,5.3,47,55.3
59,Mike Blunden,30,OTT,RW,2,10,21,32.3,-18.7,8,15,34.8,-14.4,0.0,100.0,100.0,40.0,60.0,8:07,8:07,0,0,-0.5,1,100.0
60,Mikkel Boedker,27,SJS,LW,81,941,936,50.1,-1.4,692,668,50.9,-1.7,8.4,91.6,100.0,54.2,45.8,14:16,11:54,31,37,2.7,222,54.5
61,Brock Boeser,19,VAN,RW,9,119,105,53.1,4.4,90,83,52.0,5.1,8.7,90.3,99.0,62.4,37.6,16:13,14:27,1,4,0.8,38,65.8
62,Zach Bogosian,26,BUF,D,56,923,966,48.9,3.0,715,730,49.5,3.3,6.3,90.7,97.1,47.8,52.2,20:05,18:14,11,31,-4.0,135,54.1
63,Jared Boll,30,ANA,RW,51,182,281,39.3,-12.4,146,216,40.3,-11.5,6.4,94.5,100.9,56.0,44.0,5:49,5:46,2,5,-7.2,26,50.0
64,Nick Bonino,28,PIT,C,80,873,1009,46.4,-4.9,656,714,47.9,-4.2,7.1,92.3,99.4,43.2,56.8,16:39,12:37,41,24,-4.5,226,62.8
65,Mark Borowiecki,27,OTT,D,70,830,882,48.5,0.2,590,630,48.4,-0.9,5.3,93.9,99.3,49.4,50.6,14:01,13:16,6,18,3.0,115,43.5
66,Robert Bortuzzo,27,STL,D,38,437,421,50.9,1.4,333,285,53.9,4.1,10.2,93.2,103.4,51.0,49.0,14:05,13:11,4,13,6.7,87,51.7
67,Reid Boucher,23,TOT,C/LW,39,350,382,47.8,-2.3,265,310,46.1,-2.5,6.2,92.0,98.2,50.4,49.6,11:44,10:11,18,8,-5.3,113,61.9
68,Lance Bouma,26,CGY,C,61,433,510,45.9,-5.8,314,343,47.8,-3.4,8.0,91.4,99.4,32.4,67.6,11:21,9:36,17,9,-2.7,94,56.4
69,Michael Bournival,24,TBL,LW,19,173,167,50.9,0.1,135,123,52.3,1.5,3.3,92.9,96.1,30.2,69.8,10:09,10:02,6,3,0.7,46,54.3
70,Gabriel Bourque,26,COL,LW,6,34,53,39.1,-5.6,24,34,41.4,-1.3,5.3,95.0,100.3,40.0,60.0,11:12,8:60,1,0,-1.1,9,44.4
71,Rene Bourque,35,COL,RW,65,708,765,48.1,-0.7,524,580,47.5,-0.5,7.1,89.2,96.3,49.7,50.3,13:57,12:06,24,12,-9.4,194,57.7
72,Jay Bouwmeester,33,STL,D,81,1288,1404,47.8,-3.2,965,1040,48.1,-3.3,10.4,91.2,101.5,41.3,58.7,22:24,19:17,11,37,-3.1,205,51.7
73,Johnny Boychuk,33,NYI,D,66,1088,1126,49.1,2.4,807,825,49.4,2.1,8.9,93.2,102.0,51.7,48.3,20:44,16:51,13,45,0.4,339,45.7
74,Brian Boyle,32,TOT,C,75,752,679,52.6,1.5,586,519,53.0,3.0,8.2,92.1,100.4,42.5,57.5,12:60,10:45,22,19,3.5,216,60.6
75,Tyler Bozak,30,TOR,C,78,1159,1081,51.7,1.4,866,858,50.2,0.2,9.7,90.7,100.4,52.5,47.5,16:27,13:59,52,48,-0.7,238,60.9
76,Derick Brassard,29,OTT,C,81,1244,1064,53.9,7.9,912,766,54.4,8.0,8.6,91.6,100.2,55.6,44.4,17:23,14:42,37,37,6.1,337,57.9
77,Justin Braun,29,SJS,D,81,1170,1344,46.5,-7.0,854,904,48.6,-5.2,8.1,92.1,100.2,41.3,58.7,19:59,17:44,40,59,-0.3,237,40.1
78,T.J. Brodie,26,CGY,D,82,1284,1285,50.0,-0.8,939,932,50.2,0.2,7.6,90.2,97.8,47.9,52.1,23:35,18:24,57,76,2.2,208,37.5
79,Jonas Brodin,23,MIN,D,68,971,959,50.3,0.4,740,707,51.1,1.2,9.0,91.6,100.6,47.3,52.7,19:33,16:01,16,29,11.9,186,45.7
80,Kyle Brodziak,32,STL,C,69,461,585,44.1,-7.8,343,424,44.7,-7.1,9.8,91.9,101.6,20.6,79.4,11:12,9:09,33,6,-2.9,92,60.9
81,Jonny Brodzinski,23,LAK,C,6,80,50,61.5,10.7,63,37,63.0,12.7,6.7,96.3,103.0,45.7,54.3,12:17,11:58,2,1,2.5,30,56.7
82,Troy Brouwer,31,CGY,RW,74,736,922,44.4,-7.6,528,698,43.1,-8.8,7.8,92.2,100.0,53.0,47.0,16:13,12:11,22,30,-8.6,153,56.9
83,Connor Brown,23,TOR,RW,82,1069,1067,50.0,-0.7,777,821,48.6,-1.7,9.2,91.6,100.8,51.8,48.2,16:06,12:52,40,25,-1.7,249,55.8
84,Dustin Brown,32,LAK,RW,80,1054,918,53.4,-1.8,786,676,53.8,-1.1,7.7,89.9,97.5,54.2,45.8,16:00,13:13,25,27,8.2,326,53.7
85,J.T. Brown,26,TBL,RW,64,499,544,47.8,-4.6,370,406,47.7,-3.8,4.2,93.4,97.7,33.7,66.3,10:22,9:16,8,11,-2.4,116,57.8
86,Patrick Brown,24,CAR,C,14,97,122,44.3,-5.2,66,84,44.0,-4.8,2.3,87.0,89.4,44.1,55.9,9:43,9:36,2,3,-2.8,22,54.5
87,Pavel Buchnevich,21,NYR,RW,41,427,426,50.1,2.2,339,326,51.0,2.7,11.2,92.1,103.4,53.4,46.6,13:15,11:16,11,22,-1.2,110,50.0
88,Andre Burakovsky,21,WSH,LW,64,804,653,55.2,5.5,556,512,52.1,1.9,8.9,93.8,102.8,57.6,42.4,13:16,11:48,33,33,0.0,222,50.0
89,Erik Burgdoerfer,28,BUF,D,2,21,21,50.0,5.0,19,14,57.6,10.8,0.0,88.9,88.9,62.5,37.5,11:10,11:10,0,1,0.6,3,66.7
90,Alexander Burmistrov,25,TOT,C,49,420,555,43.1,-4.2,293,423,40.9,-5.7,7.3,92.3,99.6,44.1,55.9,13:21,11:20,12,14,-10.6,89,50.6
91,Brent Burns,31,SJS,D,82,1836,1550,54.2,5.2,1343,1112,54.7,4.5,9.6,91.6,101.2,58.5,41.5,24:56,19:33,52,153,9.6,609,52.7
92,Alexandre Burrows,35,TOT,LW/RW,75,834,899,48.1,-2.0,618,674,47.8,-1.3,9.2,91.7,100.9,51.1,48.9,14:38,12:45,35,19,-5.5,237,60.3
93,Chris Butler,30,STL,D,1,13,24,35.1,-8.3,8,20,28.6,-17.9,20.0,92.9,112.9,38.5,61.5,21:28,19:36,0,1,-0.6,3,33.3
94,Dustin Byfuglien,31,WPG,D,80,1594,1506,51.4,3.3,1222,1138,51.8,3.6,9.9,90.5,100.4,49.1,50.9,27:27,21:44,65,85,9.9,452,53.3
95,Paul Byron,27,MTL,LW,81,1004,858,53.9,1.8,701,623,52.9,0.8,10.0,93.0,103.0,49.8,50.2,15:04,12:32,40,22,11.3,158,60.8
96,Drake Caggiula,22,EDM,LW,60,555,610,47.6,-2.6,421,431,49.4,-1.8,7.2,93.3,100.5,48.4,51.6,13:14,10:49,22,25,-2.6,172,54.1
97,Mitch Callahan,25,DET,RW,4,18,16,52.9,-1.6,13,11,54.2,-0.4,0.0,100.0,100.0,31.6,68.4,6:49,6:46,1,0,0.1,6,33.3
98,Ryan Callahan,31,TBL,RW,18,186,220,45.8,-4.5,143,169,45.8,-4.6,4.8,91.9,96.6,43.8,56.2,14:09,11:55,7,10,-4.5,42,52.4
99,Matt Calvert,27,CBJ,LW,65,608,733,45.3,-5.6,457,558,45.0,-6.1,7.6,91.3,98.8,44.0,56.0,13:21,11:30,23,15,-5.7,154,59.7
100,Mike Cammalleri,34,NJD,LW,61,742,799,48.2,1.5,549,612,47.3,-0.1,8.7,91.4,100.1,48.8,51.2,17:21,14:46,24,32,-5.9,244,58.2
101,Brian Campbell,37,CHI,D,80,1187,1239,48.9,-2.1,862,935,48.0,-3.1,9.3,93.6,102.9,53.6,46.4,18:26,16:38,11,59,0.7,171,43.9
102,Patrick Cannone,30,MIN,C,3,14,27,34.1,-12.8,12,17,41.4,-8.9,10.0,91.7,101.7,75.0,25.0,7:53,6:50,1,2,0.1,3,66.7
103,Paul Carey,28,WSH,C,6,53,54,49.5,-3.8,39,36,52.0,-0.7,0.0,91.7,91.7,31.8,68.2,10:29,9:55,5,4,-1.0,15,53.3
104,Matt Carle,32,NSH,D,6,60,61,49.6,2.3,44,44,50.0,3.9,9.1,87.1,96.2,52.2,47.8,13:09,12:28,0,4,0.4,4,50.0
105,Brandon Carlo,20,BOS,D,82,1436,1328,52.0,-4.5,1096,996,52.4,-4.6,8.8,90.7,99.4,43.7,56.3,20:43,17:51,21,42,5.3,179,49.2
106,John Carlson,27,WSH,D,72,1154,1215,48.7,-4.8,850,917,48.1,-5.0,9.6,92.0,101.6,49.5,50.5,22:42,17:06,51,88,-4.9,361,49.9
107,Gabriel Carlsson,20,CBJ,D,2,33,28,54.1,11.7,28,18,60.9,22.2,10.0,69.2,79.2,55.0,45.0,17:08,16:46,0,0,0.3,6,50.0
108,Ryan Carpenter,26,SJS,C,11,107,88,54.9,5.8,83,66,55.7,6.9,10.0,98.0,108.0,50.9,49.1,10:23,9:35,1,3,0.4,23,87.0
109,Daniel Carr,25,MTL,LW,33,281,269,51.1,-4.9,223,190,54.0,-0.8,8.3,93.6,101.9,42.0,58.0,10:15,9:60,7,6,-0.4,73,60.3
110,Connor Carrick,22,TOR,D,67,1100,957,53.5,2.9,799,739,52.0,2.0,8.9,91.9,100.8,58.8,41.2,16:21,15:32,14,46,2.9,215,41.4
111,Alexandre Carrier,20,NSH,D,2,15,16,48.4,3.5,12,11,52.2,6.6,14.3,100.0,114.3,42.9,57.1,10:24,10:23,0,0,0.1,1,100.0
112,William Carrier,22,BUF,LW,41,334,322,50.9,3.5,257,252,50.5,3.3,5.8,93.9,99.7,51.5,48.5,9:00,8:56,8,10,1.5,72,69.4
113,Jeff Carter,32,LAK,C,82,1207,1010,54.4,-0.4,892,756,54.1,-0.5,8.8,89.7,98.4,56.9,43.1,18:02,13:38,24,46,2.4,468,53.4
114,Cody Ceci,23,OTT,D,79,1285,1568,45.0,-5.0,925,1123,45.2,-5.4,7.5,91.7,99.2,45.7,54.3,23:12,19:12,22,74,-10.4,287,49.8
115,Peter Cehlarik,21,BOS,LW,11,132,123,51.8,-0.5,105,89,54.1,0.3,9.0,89.5,98.4,61.1,38.9,13:55,12:01,8,10,0.4,15,53.3
116,Thomas Chabot,20,OTT,D,1,9,12,42.9,-5.5,8,10,44.4,-10.0,0.0,75.0,75.0,50.0,50.0,7:09,7:05,0,1,0.0,2,50.0
117,Michael Chaput,24,VAN,C,68,605,677,47.2,-0.9,446,511,46.6,-0.1,4.8,92.5,97.2,45.2,54.8,11:01,10:27,13,14,-5.7,113,56.6
118,Zdeno Chara,39,BOS,D,75,1413,1282,52.4,-3.9,1070,956,52.8,-4.2,9.7,90.7,100.4,41.1,58.9,23:13,18:49,35,62,11.4,278,48.6
119,Ben Chiarot,25,WPG,D,59,628,757,45.3,-5.3,460,560,45.1,-5.8,9.6,92.4,101.9,47.8,52.2,15:19,13:14,13,46,-3.3,102,48.0
120,Alex Chiasson,26,CGY,RW,81,850,785,52.0,2.1,627,578,52.0,2.8,7.2,90.5,97.7,57.2,42.8,13:23,11:43,32,22,4.2,165,63.0
121,Jason Chimera,37,NYI,LW,82,865,1058,45.0,-3.4,651,778,45.6,-3.0,9.4,91.6,100.9,47.5,52.5,13:03,11:43,20,26,-7.5,179,67.0
122,Taylor Chorney,29,WSH,D,18,209,246,45.9,-3.0,162,181,47.2,-1.6,11.7,96.3,108.0,55.4,44.6,14:16,13:33,3,7,-0.6,34,55.9
123,Jakob Chychrun,18,ARI,D,68,888,1059,45.6,0.3,667,822,44.8,0.0,7.5,91.4,98.9,47.5,52.5,16:40,15:00,12,45,-11.3,197,43.7
124,Casey Cizikas,25,NYI,C,59,611,675,47.5,-0.6,457,473,49.1,0.9,9.0,92.8,101.8,32.6,67.4,13:54,11:38,36,24,1.4,127,64.6
125,Fredrik Claesson,24,OTT,D,33,412,361,53.3,5.3,295,267,52.5,4.2,6.4,94.1,100.5,57.0,43.0,13:08,12:30,4,15,5.8,72,34.7
126,Adam Clendening,24,NYR,D,31,451,344,56.7,9.4,325,258,55.7,7.5,9.2,91.1,100.3,68.3,31.7,15:49,14:06,7,20,3.6,89,43.8
127,Kyle Clifford,26,LAK,LW,73,748,567,56.9,2.9,548,408,57.3,3.9,4.2,93.8,98.0,59.0,41.0,10:43,10:37,17,7,2.5,199,61.3
128,Cal Clutterbuck,29,NYI,RW,66,654,730,47.3,0.2,479,538,47.1,-0.5,8.9,91.9,100.8,37.7,62.3,14:00,11:31,30,16,3.8,199,57.8
129,Braydon Coburn,31,TBL,D,80,1050,1024,50.6,-1.1,782,791,49.7,-1.6,7.2,92.5,99.7,39.1,60.9,16:44,14:39,6,35,-1.1,220,46.4
130,Andrew Cogliano,29,ANA,LW,82,1129,965,53.9,6.0,859,722,54.3,6.1,7.1,92.8,99.8,44.4,55.6,15:08,13:16,19,26,10.6,293,61.1
131,Joe Colborne,27,COL,C,62,470,519,47.5,-2.2,339,393,46.3,-2.9,4.9,89.7,94.6,52.1,47.9,10:42,9:20,10,18,-9.0,76,63.2
132,Ian Cole,27,PIT,D,81,1321,1358,49.3,-0.8,993,946,51.2,0.4,10.6,92.4,103.0,49.8,50.2,19:49,17:19,32,50,6.0,220,40.5
133,Blake Coleman,25,NJD,C,23,181,232,43.8,-7.4,146,175,45.5,-4.2,2.9,92.4,95.3,39.7,60.3,12:51,11:44,12,12,-4.0,46,63.0
134,Blake Comeau,30,COL,LW,77,866,839,50.8,2.7,617,647,48.8,1.2,6.9,89.2,96.1,45.6,54.4,14:58,12:22,35,18,-12.8,197,52.3
135,J.T. Compher,21,COL,LW,21,206,228,47.5,-5.0,142,166,46.1,-3.9,6.9,93.5,100.4,38.6,61.4,14:56,11:60,6,8,1.0,59,50.8
136,Cory Conacher,27,TBL,LW,11,82,92,47.1,-3.7,67,76,46.9,-5.9,5.9,94.3,100.2,59.0,41.0,11:34,9:43,6,8,0.2,26,61.5
137,Erik Condra,30,TBL,RW,13,109,122,47.2,-6.0,78,96,44.8,-8.2,3.7,90.9,94.6,46.8,53.2,9:38,9:23,3,2,-0.8,15,53.3
138,Kevin Connauton,26,ARI,D,24,258,312,45.3,1.5,193,233,45.3,1.4,7.6,93.3,100.8,42.6,57.4,13:08,12:05,4,5,-3.9,51,41.2
139,Brett Connolly,24,WSH,RW,66,673,574,54.0,3.5,486,426,53.3,2.9,9.8,95.0,104.8,59.5,40.5,10:41,10:13,16,13,5.1,131,61.8
140,Kyle Connor,20,WPG,LW,20,165,203,44.8,-4.3,131,148,47.0,-2.0,6.5,88.3,94.7,50.9,49.1,12:13,10:49,11,5,-1.7,41,58.5
141,Andrew Copp,22,WPG,C,64,580,617,48.5,-1.0,431,436,49.7,-0.2,8.2,93.8,101.9,45.5,54.5,12:21,10:40,20,16,6.8,126,61.1
142,Frank Corrado,23,TOT,D,4,43,45,48.9,-0.4,27,42,39.1,-9.3,5.9,93.5,99.4,73.1,26.9,10:46,10:10,0,2,-1.4,11,27.3
143,Nick Cousins,23,PHI,C,60,666,605,52.4,1.8,474,432,52.3,1.3,5.4,92.6,97.9,52.7,47.3,12:00,10:48,15,14,2.0,163,60.1
144,Logan Couture,27,SJS,C,73,983,996,49.7,-2.2,721,690,51.1,-1.4,9.9,92.8,102.7,52.6,47.4,17:38,13:34,38,76,2.3,330,52.7
145,Sean Couturier,24,PHI,C,66,1013,846,54.5,4.0,745,608,55.1,4.2,9.3,91.2,100.5,42.8,57.2,18:27,14:48,46,33,9.8,194,61.3
146,Charlie Coyle,24,MIN,C,82,1085,1075,50.2,1.1,809,776,51.0,1.5,10.1,90.8,101.0,50.1,49.9,16:42,14:05,30,34,15.6,265,60.0
147,Adam Cracknell,31,DAL,RW,69,680,646,51.3,2.0,497,453,52.3,2.5,8.0,93.6,101.5,49.7,50.3,10:28,9:51,19,16,0.3,170,51.2
148,Joseph Cramarossa,24,TOT,LW,59,355,529,40.2,-9.5,272,393,40.9,-8.5,6.9,94.4,101.3,54.5,45.5,9:57,9:07,8,15,-8.2,63,57.1
149,Sidney Crosby,29,PIT,C,75,1355,1192,53.2,5.1,1019,889,53.4,3.7,10.1,91.6,101.7,61.2,38.8,19:53,16:09,39,70,18.4,411,62.0
150,Lawson Crouse,19,ARI,LW,72,637,777,45.0,-0.5,499,583,46.1,1.5,4.9,90.6,95.5,36.9,63.1,11:53,10:23,14,5,-8.7,155,54.2
151,Matt Cullen,40,PIT,C,72,710,769,48.0,-2.7,541,543,49.9,-1.6,9.0,91.1,100.1,35.8,64.2,13:55,11:13,20,32,3.3,157,60.5
152,Austin Czarnik,24,BOS,C,49,476,394,54.7,-1.6,352,281,55.6,-1.0,5.0,90.2,95.2,60.1,39.9,13:01,10:08,19,11,2.7,119,55.5
153,Klas Dahlbeck,25,CAR,D,43,488,580,45.7,-6.0,362,449,44.6,-6.5,5.7,91.7,97.4,63.7,36.3,13:53,13:19,11,15,-8.2,98,37.8
154,Trevor Daley,33,PIT,D,56,857,1003,46.1,-5.5,671,717,48.3,-4.5,9.7,92.3,102.0,48.0,52.0,20:23,16:21,20,18,3.1,156,53.8
