,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
906,Lee Stempniak,31,RW,NYR,53,9,9,18,7,18,9,0,0,1,9,0,0,86,10.5,659,12:26,19,57,12,13,48.0,2.2
907,Lee Stempniak,31,RW,WPG,18,6,4,10,1,2,6,0,0,2,3,1,0,29,20.7,244,13:33,4,20,1,6,14.3,1.5
908,Derek Stepan,24,C,NYR,68,16,39,55,26,22,11,3,2,3,29,7,3,155,10.3,1236,18:11,27,36,545,680,44.5,7.0
909,Chris Stewart,27,RW,TOT,81,14,22,36,-26,88,9,5,0,0,17,5,0,155,9.0,1286,15:53,16,110,10,31,24.4,2.6
910,Chris Stewart,27,RW,BUF,61,11,14,25,-30,63,6,5,0,0,9,5,0,116,9.5,976,16:00,13,82,10,27,27.0,1.3
911,Chris Stewart,27,RW,MIN,20,3,8,11,4,25,3,0,0,0,8,0,0,39,7.7,310,15:31,3,28,0,4,0.0,1.3
912,Jarret Stoll,32,C,LAK,73,6,11,17,3,58,3,3,0,2,8,1,2,83,7.2,1131,15:29,53,162,563,562,50.0,0.9
913,Karl Stollery,27,D,TOT,10,0,0,0,-1,6,0,0,0,0,0,0,0,9,0.0,147,14:44,21,23,0,0,,0.0
914,Karl Stollery,27,D,COL,5,0,0,0,3,2,0,0,0,0,0,0,0,3,0.0,57,11:25,7,5,0,0,,0.3
915,Karl Stollery,27,D,SJS,5,0,0,0,-4,4,0,0,0,0,0,0,0,6,0.0,90,18:02,14,18,0,0,,-0.3
916,Mark Stone,22,RW,OTT,80,26,38,64,21,14,20,5,1,6,30,8,0,157,16.6,1362,17:01,53,49,7,11,38.9,8.7
917,Michael Stone,24,D,ARI,81,3,15,18,-24,60,3,0,0,0,10,5,0,144,2.1,1690,20:52,189,202,1,0,100.0,2.7
918,Clayton Stoner,29,D,ANA,69,1,7,8,-2,68,1,0,0,1,7,0,0,68,1.5,1217,17:39,84,128,0,0,,1.4
919,Tyson Strachan,30,D,BUF,46,0,5,5,-30,44,0,0,0,0,4,0,1,38,0.0,873,18:59,105,67,0,0,,-0.8
920,Brian Strait,27,D,NYI,52,2,5,7,-1,32,2,0,0,0,4,0,1,59,3.4,955,18:22,85,124,0,1,0.0,1.4
921,Petr Straka,22,RW,PHI,3,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,28,9:27,1,4,0,0,,0.2
922,Anton Stralman,28,D,TBL,82,9,30,39,22,26,7,2,0,0,18,12,0,138,6.5,1800,21:57,79,106,0,0,,8.0
923,Ben Street,27,C,COL,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,35,11:36,0,3,17,15,53.1,-0.1
924,Mark Streit,37,D,PHI,81,9,43,52,-8,36,5,4,0,0,17,26,0,144,6.3,1812,22:22,103,63,0,0,,7.5
925,Ryan Strome,21,C,NYI,81,17,33,50,23,47,15,1,1,2,26,7,0,179,9.5,1247,15:24,21,92,149,170,46.7,6.3
926,Brad Stuart,35,D,COL,65,3,10,13,-4,16,3,0,0,0,9,1,0,64,4.7,1323,20:21,134,177,1,0,100.0,2.7
927,Mark Stuart,30,D,WPG,70,2,12,14,5,69,2,0,0,1,10,0,2,51,3.9,1345,19:13,142,166,0,1,0.0,3.2
928,P.K. Subban,25,D,MTL,82,15,45,60,21,74,7,8,0,5,32,13,0,170,8.8,2149,26:12,142,97,0,0,,12.4
929,Chris Summers,26,D,TOT,20,0,3,3,-12,8,0,0,0,0,3,0,0,15,0.0,285,14:15,26,49,0,0,,-0.4
930,Chris Summers,26,D,ARI,17,0,3,3,-12,8,0,0,0,0,3,0,0,13,0.0,233,13:43,21,40,0,0,,-0.4
931,Chris Summers,26,D,NYR,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,52,17:15,5,9,0,0,,0.0
932,Andrej Sustr,24,D,TBL,72,0,13,13,10,34,0,0,0,0,12,1,0,55,0.0,1275,17:42,84,39,0,0,,2.8
933,Ryan Suter,30,D,MIN,77,2,36,38,7,48,1,1,0,1,25,10,1,150,1.3,2238,29:04,127,69,0,0,,7.4
934,Brandon Sutter,25,C,PIT,80,21,12,33,6,14,14,3,4,4,10,2,0,180,11.7,1386,17:19,48,86,688,659,51.1,4.1
