,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
401,Duncan Keith,28,CHI,D,74,1567,1439,52.1,-1.9,1188,1097,52.0,-1.1,10.0,90.8,100.8,51.1,48.9,26:54,21:18,48,50,378,42.9
402,Chris Kelly,31,BOS,C,82,981,916,51.7,-4.3,731,679,51.8,-3.3,11.2,94.3,105.5,48.0,52.0,14:44,12:44,35,15,200,61.0
403,Tim Kennedy,25,FLA,LW,27,206,247,45.5,-3.5,150,181,45.3,-4.6,1.8,90.6,92.4,48.6,51.4,11:08,10:31,9,7,27,81.5
404,Tyler Kennedy,25,PIT,C,60,853,621,57.9,3.7,653,475,57.9,2.8,7.5,92.3,99.8,56.5,43.5,14:22,12:57,19,11,324,60.2
405,Ryan Kesler,27,VAN,C,77,1195,970,55.2,2.3,874,724,54.7,3.7,7.6,93.4,101.0,48.8,51.2,20:06,14:35,43,20,416,53.4
406,Phil Kessel,24,TOR,RW,82,1407,1404,50.1,0.6,1012,1075,48.5,-0.6,9.8,89.3,99.1,55.8,44.2,20:03,16:38,39,82,517,56.9
407,Jakub Kindl,24,DET,D,55,675,569,54.3,-0.8,526,444,54.2,-1.5,7.3,93.5,100.9,60.1,39.9,14:03,13:09,15,19,119,58.0
408,D.J. King,27,WSH,LW,1,5,7,41.7,-4.7,3,4,42.9,-1.1,0.0,100.0,100.0,16.7,83.3,6:58,6:58,0,0,1,100.0
409,Dwight King,22,LAK,LW,27,348,283,55.2,-5.2,275,216,56.0,-5.0,7.5,93.2,100.8,47.5,52.5,14:38,12:49,6,6,68,61.8
410,Kevin Klein,27,NSH,D,66,866,1090,44.3,-4.6,654,783,45.5,-4.2,7.5,92.1,99.6,41.2,58.8,19:56,17:17,25,50,180,50.6
411,Rostislav Klesla,29,PHX,D,65,974,1170,45.4,-6.4,740,847,46.6,-3.1,9.4,92.9,102.3,44.3,55.7,19:21,16:28,13,23,174,50.0
412,Carl Klingberg,21,WPG,LW,6,40,19,67.8,23.2,32,15,68.1,22.0,0.0,90.9,90.9,77.8,22.2,5:30,5:30,1,0,10,70.0
413,Rob Klinkhammer,25,OTT,LW,15,171,119,59.0,2.1,124,93,57.1,1.3,4.7,93.9,98.6,51.4,48.6,11:27,10:14,7,3,46,56.5
414,Mike Knuble,39,WSH,RW,72,640,804,44.3,-3.8,480,576,45.5,-2.7,6.0,92.1,98.1,45.5,54.5,13:57,11:34,25,15,155,57.4
415,Chuck Kobasew,29,COL,RW,58,471,550,46.1,-8.4,339,417,44.8,-9.4,6.2,91.3,97.5,54.1,45.9,11:51,10:01,17,7,113,57.5
416,Mikko Koivu,28,MIN,C,55,723,845,46.1,1.4,542,633,46.1,0.6,8.9,93.6,102.5,47.6,52.4,21:21,16:02,47,44,218,59.2
417,Saku Koivu,37,ANA,C,74,929,911,50.5,2.1,711,671,51.4,3.4,11.0,90.6,101.6,48.5,51.5,17:50,14:04,35,37,191,55.5
418,Krys Kolanos,30,CGY,C,13,106,97,52.2,12.9,78,74,51.3,11.4,3.4,94.6,98.0,59.7,40.3,9:51,8:51,5,6,45,64.4
419,Mike Komisarek,30,TOR,D,45,538,630,46.1,-2.9,374,440,45.9,-1.1,8.7,88.1,96.8,42.0,58.0,16:39,14:55,25,26,85,40.0
420,Zenon Konopka,31,OTT,C,55,305,354,46.3,-8.8,229,270,45.9,-7.6,4.3,93.7,98.0,48.7,51.3,7:51,6:50,7,14,53,64.2
421,Tomas Kopecky,29,FLA,RW,80,934,964,49.2,-1.0,692,734,48.5,-2.8,8.2,91.5,99.7,45.7,54.3,17:16,13:06,60,27,298,47.7
422,Anze Kopitar,24,LAK,C,82,1451,1067,57.6,4.3,1062,819,56.5,3.8,8.3,90.6,98.9,50.6,49.4,21:03,15:30,73,52,408,54.4
423,Lauri Korpikoski,25,PHX,LW,82,1021,1194,46.1,-6.7,764,929,45.1,-6.7,8.4,93.4,101.8,43.2,56.8,17:08,13:45,24,24,292,49.7
424,Andrei Kostitsyn,26,TOT,LW,72,870,930,48.3,-1.6,625,661,48.6,-1.4,9.6,91.3,100.9,53.5,46.5,15:07,13:22,23,37,236,51.7
425,Sergei Kostitsyn,24,NSH,LW,75,845,1008,45.6,-2.2,624,733,46.0,-2.5,10.3,92.5,102.8,49.8,50.2,16:28,14:12,31,30,192,50.0
426,Tom Kostopoulos,33,CGY,RW,81,741,813,47.7,-1.1,539,629,46.1,-1.7,5.4,91.6,97.0,45.0,55.0,12:19,10:46,29,23,147,61.9
427,Ilya Kovalchuk,28,NJD,LW,77,1195,1114,51.8,2.0,915,855,51.7,2.1,8.7,89.7,98.5,56.9,43.1,24:26,18:21,42,120,551,56.1
428,David Krejci,25,BOS,C,79,1268,1069,54.3,-1.0,897,814,52.4,-2.7,9.6,88.9,98.5,54.8,45.2,18:25,15:15,43,34,259,56.0
429,Niklas Kronwall,31,DET,D,82,1264,1142,52.5,-4.0,963,860,52.8,-3.8,8.7,90.8,99.5,53.3,46.7,22:52,17:15,21,31,281,50.2
430,Torey Krug,20,BOS,D,2,29,28,50.9,-5.8,22,23,48.9,-2.1,12.5,89.5,102.0,41.2,58.8,17:08,15:40,0,0,7,42.9
